YEAR,MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN,DEST,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2019,7,17,7/17/19,ATL,BWI,9,0,7,0,121,577,,,,,
2019,7,25,7/25/19,MSP,BWI,0,0,0,0,144,936,,,,,
2019,7,25,7/25/19,ATL,BWI,0,0,0,0,96,577,,,,,
2019,7,25,7/25/19,BWI,ATL,5,0,0,0,101,577,,,,,
2019,7,25,7/25/19,BWI,SLC,0,0,0,0,279,1865,,,,,
2019,7,25,7/25/19,SLC,BWI,0,0,0,0,249,1865,,,,,
2019,7,25,7/25/19,DTW,BWI,1,0,7,0,96,409,,,,,
2019,7,25,7/25/19,ATL,BWI,0,0,0,0,92,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,108,577,,,,,
2019,7,25,7/25/19,BWI,MSP,0,0,0,0,146,936,,,,,
2019,7,25,7/25/19,MSP,BWI,0,0,6,0,155,936,,,,,
2019,7,25,7/25/19,BWI,MSP,0,0,0,0,150,936,,,,,
2019,7,25,7/25/19,BWI,ATL,1,0,9,0,121,577,,,,,
2019,7,25,7/25/19,ATL,BWI,0,0,0,0,93,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,104,577,,,,,
2019,7,25,7/25/19,BWI,MSP,19,1,13,0,151,936,,,,,
2019,7,25,7/25/19,MSP,BWI,0,0,2,0,154,936,,,,,
2019,7,25,7/25/19,ATL,BWI,34,1,164,1,245,577,34,0,130,0,0
2019,7,25,7/25/19,BWI,DTW,0,0,0,0,77,409,,,,,
2019,7,25,7/25/19,DTW,BWI,0,0,0,0,93,409,,,,,
2019,7,25,7/25/19,BWI,DTW,0,0,0,0,82,409,,,,,
2019,7,25,7/25/19,DTW,BWI,0,0,2,0,99,409,,,,,
2019,7,25,7/25/19,ATL,BWI,40,1,18,1,92,577,18,0,0,0,0
2019,7,25,7/25/19,BWI,ATL,25,1,24,1,112,577,7,0,0,0,17
2019,7,25,7/25/19,BWI,DTW,0,0,0,0,87,409,,,,,
2019,7,25,7/25/19,DTW,BWI,0,0,0,0,81,409,,,,,
2019,7,25,7/25/19,ATL,BWI,0,0,0,0,106,577,,,,,
2019,7,25,7/25/19,BWI,DTW,0,0,0,0,87,409,,,,,
2019,7,25,7/25/19,BWI,DTW,18,1,12,0,83,409,,,,,
2019,7,25,7/25/19,MSP,BWI,0,0,0,0,139,936,,,,,
2019,7,25,7/25/19,SLC,BWI,0,0,0,0,239,1865,,,,,
2019,7,25,7/25/19,ATL,BWI,20,1,0,0,91,577,,,,,
2019,7,25,7/25/19,ATL,BWI,4,0,0,0,97,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,103,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,103,577,,,,,
2019,7,25,7/25/19,ATL,BWI,0,0,0,0,96,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,103,577,,,,,
2019,7,25,7/25/19,ATL,BWI,0,0,0,0,100,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,110,577,,,,,
2019,7,25,7/25/19,BWI,ATL,1,0,0,0,101,577,,,,,
2019,7,25,7/25/19,ATL,BWI,3,0,0,0,97,577,,,,,
2019,7,25,7/25/19,BWI,ATL,0,0,0,0,100,577,,,,,
2019,7,25,7/25/19,DTW,BWI,0,0,0,0,90,409,,,,,
2019,7,26,7/26/19,BWI,SLC,249,1,222,1,259,1865,222,0,0,0,0
2019,7,26,7/26/19,ATL,BWI,71,1,53,1,101,577,53,0,0,0,0
2019,7,26,7/26/19,BWI,ATL,51,1,29,1,96,577,0,0,0,0,29
2019,7,26,7/26/19,BWI,MSP,359,1,339,1,137,936,339,0,0,0,0
2019,7,26,7/26/19,MSP,BWI,8,0,5,0,146,936,,,,,
2019,7,26,7/26/19,ATL,BWI,0,0,23,1,135,577,0,0,23,0,0
2019,7,26,7/26/19,BWI,ATL,56,1,41,1,107,577,24,0,0,0,17
2019,7,26,7/26/19,BWI,SLC,0,0,2,0,290,1865,,,,,
2019,7,26,7/26/19,SLC,BWI,0,0,0,0,264,1865,,,,,
2019,7,26,7/26/19,DTW,BWI,0,0,0,0,87,409,,,,,
2019,7,26,7/26/19,ATL,BWI,0,0,0,0,91,577,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,0,0,102,577,,,,,
2019,7,26,7/26/19,BWI,MSP,4,0,0,0,150,936,,,,,
2019,7,26,7/26/19,MSP,BWI,15,1,10,0,140,936,,,,,
2019,7,26,7/26/19,BWI,MSP,0,0,2,0,164,936,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,0,0,112,577,,,,,
2019,7,26,7/26/19,ATL,BWI,0,0,0,0,107,577,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,2,0,127,577,,,,,
2019,7,26,7/26/19,BWI,MSP,0,0,0,0,143,936,,,,,
2019,7,26,7/26/19,MSP,BWI,9,0,9,0,149,936,,,,,
2019,7,26,7/26/19,ATL,BWI,4,0,0,0,102,577,,,,,
2019,7,26,7/26/19,BWI,DTW,0,0,0,0,84,409,,,,,
2019,7,26,7/26/19,DTW,BWI,0,0,0,0,89,409,,,,,
2019,7,26,7/26/19,BWI,DTW,0,0,0,0,78,409,,,,,
2019,7,26,7/26/19,DTW,BWI,0,0,0,0,90,409,,,,,
2019,7,26,7/26/19,ATL,BWI,29,1,26,1,111,577,23,0,0,0,3
2019,7,26,7/26/19,BWI,ATL,44,1,45,1,114,577,18,0,1,0,26
2019,7,26,7/26/19,BWI,DTW,0,0,0,0,93,409,,,,,
2019,7,26,7/26/19,DTW,BWI,0,0,0,0,83,409,,,,,
2019,7,26,7/26/19,ATL,BWI,0,0,0,0,99,577,,,,,
2019,7,26,7/26/19,BWI,DTW,0,0,0,0,87,409,,,,,
2019,7,26,7/26/19,BWI,DTW,33,1,29,1,85,409,21,0,0,0,8
2019,7,26,7/26/19,MSP,BWI,9,0,0,0,143,936,,,,,
2019,7,26,7/26/19,SLC,BWI,0,0,0,0,237,1865,,,,,
2019,7,26,7/26/19,ATL,BWI,26,1,9,0,106,577,,,,,
2019,7,26,7/26/19,ATL,BWI,0,0,0,0,100,577,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,0,0,102,577,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,0,0,107,577,,,,,
2019,7,26,7/26/19,ATL,BWI,6,0,0,0,97,577,,,,,
2019,7,26,7/26/19,BWI,ATL,8,0,3,0,100,577,,,,,
2019,7,26,7/26/19,ATL,BWI,53,1,28,1,99,577,28,0,0,0,0
2019,7,26,7/26/19,BWI,ATL,28,1,10,0,104,577,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,0,0,103,577,,,,,
2019,7,26,7/26/19,ATL,BWI,1,0,0,0,101,577,,,,,
2019,7,26,7/26/19,BWI,ATL,0,0,0,0,105,577,,,,,
